Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-AMI-HRRP,810,,0.9875,14.9136,15.1026,120,07/01/2013,06/30/2016
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-CABG-HRRP,275,,1.0499,13.3154,12.6826,38,07/01/2013,06/30/2016
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-COPD-HRRP,617,,0.9891,18.2801,18.4823,112,07/01/2013,06/30/2016
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-HF-HRRP,1053,,0.9506,20.1391,21.1865,209,07/01/2013,06/30/2016
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-HIP-KNEE-HRRP,342,,1.1004,5.3174,4.8322,20,07/01/2013,06/30/2016
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-PN-HRRP,656,,1.0855,17.5821,16.1968,120,07/01/2013,06/30/2016
MARSHALL MEDICAL CENTER SOUTH,010005,AL,READM-30-AMI-HRRP,Not Available,,0.9695,15.0547,15.5282,Too Few to Report,07/01/2013,06/30/2016
MARSHALL MEDICAL CENTER SOUTH,010005,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MARSHALL MEDICAL CENTER SOUTH,010005,AL,READM-30-COPD-HRRP,627,,0.8724,16.2068,18.5763,92,07/01/2013,06/30/2016
MARSHALL MEDICAL CENTER SOUTH,010005,AL,READM-30-HF-HRRP,362,,1.0990,22.9839,20.9143,89,07/01/2013,06/30/2016
MARSHALL MEDICAL CENTER SOUTH,010005,AL,READM-30-HIP-KNEE-HRRP,263,,1.3111,6.7660,5.1607,23,07/01/2013,06/30/2016
MARSHALL MEDICAL CENTER SOUTH,010005,AL,READM-30-PN-HRRP,841,,0.9192,14.7072,16.0006,119,07/01/2013,06/30/2016
ELIZA COFFEE MEMORIAL HOSPITAL,010006,AL,READM-30-AMI-HRRP,395,,1.0417,15.2925,14.6807,63,07/01/2013,06/30/2016
ELIZA COFFEE MEMORIAL HOSPITAL,010006,AL,READM-30-CABG-HRRP,147,,1.1007,14.4479,13.1255,24,07/01/2013,06/30/2016
