stname,tractfips,2000 Tract,2010 Tract,MUNICIPALITY,Municipality,City Neighborhood,2006-2010 estimate of obesity
Pennsylvania,42003010300,10300,,PITTSBURGH  ,Pittsburgh  ,Bluff,0.246935849
Pennsylvania,42003020100,20100,,PITTSBURGH  ,Pittsburgh  ,Central Business District,0.668012041
Pennsylvania,42003020300,20300,,PITTSBURGH  ,Pittsburgh  ,Strip District,0.369996439
Pennsylvania,42003030500,30500,,PITTSBURGH  ,Pittsburgh  ,Crawford Roberts,0.488690884
Pennsylvania,42003040200,40200,,PITTSBURGH  ,Pittsburgh  ,West oakland,0.366390731
Pennsylvania,42003040400,40400,,PITTSBURGH  ,Pittsburgh  ,North oakland,0.155867454
Pennsylvania,42003040500,40500,,PITTSBURGH  ,Pittsburgh  ,Central Oakland,0.112780394
Pennsylvania,42003040600,40600,,PITTSBURGH  ,Pittsburgh  ,Central Oakland,0.144556151
Pennsylvania,42003040900,40900,,PITTSBURGH  ,Pittsburgh  ,South Oakland,0.281331416
Pennsylvania,42003050100,50100,,PITTSBURGH  ,Pittsburgh  ,Middle Hill,0.608099152
Pennsylvania,42003050600,50600,,PITTSBURGH  ,Pittsburgh  ,Upper Hill,0.455786185
Pennsylvania,42003050900,50900,,PITTSBURGH  ,Pittsburgh  ,Bedford Dwellings,0.636222228
Pennsylvania,42003051000,51000,,PITTSBURGH  ,Pittsburgh  ,Terrace Village,0.555072799
Pennsylvania,42003051100,51100,,PITTSBURGH  ,Pittsburgh  ,Terrace Village,0.793133039
Pennsylvania,42003060300,60300,,PITTSBURGH  ,Pittsburgh  ,Lower Lawrenceville,0.319568655
Pennsylvania,42003060500,60500,,PITTSBURGH  ,Pittsburgh  ,Polish Hill,0.320700606
Pennsylvania,42003070300,70300,,PITTSBURGH  ,Pittsburgh  ,Shadyside,0.128451261
Pennsylvania,42003070500,70500,,PITTSBURGH  ,Pittsburgh  ,Shadyside,0.130383004
Pennsylvania,42003070600,70600,,PITTSBURGH  ,Pittsburgh  ,Shadyside,0.11853283
Pennsylvania,42003070800,70800,,PITTSBURGH  ,Pittsburgh  ,Shadyside,0.134519846
Pennsylvania,42003070900,70900,,PITTSBURGH  ,Pittsburgh  ,Shadyside,0.1267053
Pennsylvania,42003080200,80200,,PITTSBURGH  ,Pittsburgh  ,Bloomfield,0.281425391
Pennsylvania,42003080400,80400,,PITTSBURGH  ,Pittsburgh  ,Bloomfield,0.185609561
Pennsylvania,42003080600,80600,,PITTSBURGH  ,Pittsburgh  ,Bloomfield,0.181223911
Pennsylvania,42003080700,80700,,PITTSBURGH  ,Pittsburgh  ,Friendship,0.220125706
Pennsylvania,42003080900,80900,,PITTSBURGH  ,Pittsburgh  ,Bloomfield,0.233013709
